Service Class Name	UUID	Specification	Allowed Usage
ServiceDiscoveryServerServiceClassID	0x1000	Bluetooth Core Specification	Service Class
BrowseGroupDescriptorServiceClassID	0x1001	Bluetooth Core Specification	Service Class
SerialPort	0x1101	Serial Port Profile (SPP) NOTE: The example SDP record in SPP v1.0 does not include a BluetoothProfileDescriptorList attribute, but some implementations may also use this UUID for the Profile Identifier.	Service Class/ Profile
LANAccessUsingPPP	0x1102	LAN Access Profile [DEPRECATED] NOTE: Used as both Service Class Identifier and Profile Identifier.	Service Class/ Profile
DialupNetworking	0x1103	Dial-up Networking Profile (DUN) NOTE: Used as both Service Class Identifier and Profile Identifier.	Service Class/ Profile
IrMCSync	0x1104	Synchronization Profile (SYNC) NOTE: Used as both Service Class Identifier and Profile Identifier.	Service Class/ Profile
OBEXObjectPush	0x1105	Object Push Profile (OPP) NOTE: Used as both Service Class Identifier and Profile.	Service Class/ Profile
OBEXFileTransfer	0x1106	File Transfer Profile (FTP) NOTE: Used as both Service Class Identifier and Profile Identifier.	Service Class/ Profile
IrMCSyncCommand	0x1107	Synchronization Profile (SYNC)	None
Headset	0x1108	Headset Profile (HSP) NOTE: Used as both Service Class Identifier and Profile Identifier.	Service Class/ Profile
CordlessTelephony	0x1109	Cordless Telephony Profile (CTP) NOTE: Used as both Service Class Identifier and Profile Identifier. [DEPRECATED]	Service Class/ Profile
AudioSource	0x110A	Advanced Audio Distribution Profile (A2DP)	Service Class
AudioSink	0x110B	Advanced Audio Distribution Profile (A2DP)	Service Class
A/V_RemoteControlTarget	0x110C	Audio/Video Remote Control Profile (AVRCP)	Service Class
AdvancedAudioDistribution	0x110D	Advanced Audio Distribution Profile (A2DP)	Profile
A/V_RemoteControl	0x110E	Audio/Video Remote Control Profile (AVRCP) NOTE: Used as both Service Class Identifier and Profile Identifier.	Service Class/ Profile
A/V_RemoteControlController	0x110F	Audio/Video Remote Control Profile (AVRCP) NOTE: The AVRCP specification v1.3 and later require that 0x110E also be included in the ServiceClassIDList before 0x110F for backwards compatibility.	Service Class
Intercom	0x1110	Intercom Profile (ICP) NOTE: Used as both Service Class Identifier and Profile Identifier. [DEPRECATED]	Service Class
Fax	0x1111	Fax Profile (FAX) NOTE: Used as both Service Class Identifier and Profile Identifier. [DEPRECATED]	Service Class
Headset - Audio Gateway (AG)	0x1112	Headset Profile (HSP)	Service Class
WAP	0x1113	Interoperability Requirements for Bluetooth technology as a WAP, Bluetooth SIG [DEPRECATED]	Service Class
