"Decimal","Hexadecimal","Company"
"2687","0x0A7F","Intuity Medical"
"2686","0x0A7E","Keba AG"
"2685","0x0A7D","Freedman Electronics Pty Ltd"
"2684","0x0A7C","WAFERLOCK"
"2683","0x0A7B","UniqAir Oy"
"2682","0x0A7A","Emlid Limited"
"2681","0x0A79","Webasto SE"
"2680","0x0A78","Shenzhen Sunricher Technology Limited"
"2679","0x0A77","JMD PACIFIC PTE. LTD."
"2678","0x0A76","Synaptics Incorporated"
"2677","0x0A75","Delta Cycle Corporation"
"2676","0x0A74","MICROSON S.A."
"2675","0x0A73","Innohome Oy"
"2674","0x0A72","Jumo GmbH & Co. KG"
"2673","0x0A71","Senquip Pty Ltd"
"2672","0x0A70","Ooma"
"2671","0x0A6F","Warner Bros."
"2670","0x0A6E","Pac Sane Limited"
"2669","0x0A6D","KUUKANJYOKIN Co.,Ltd."
"2668","0x0A6C","Pokkels"
"2667","0x0A6B","Olympic Ophthalmics, Inc."
"2666","0x0A6A","Scribble Design Inc."
"2665","0x0A69","HAPPIEST BABY, INC."
"2664","0x0A68","Focus Ingenieria SRL"
"2663","0x0A67","Beijing SuperHexa Century Technology CO. Ltd"
"2662","0x0A66","JUSTMORPH PTE. LTD."
"2661","0x0A65","Lytx, INC."
"2660","0x0A64","Geopal system A/S"
"2659","0x0A63","Gremsy JSC"
"2658","0x0A62","MOKO TECHNOLOGY Ltd"
"2657","0x0A61","Smart Parks B.V."
"2656","0x0A60","DATANG SEMICONDUCTOR TECHNOLOGY CO.,LTD"
"2655","0x0A5F","stryker"
"2654","0x0A5E","LaceClips llc"
"2653","0x0A5D","MG Energy Systems B.V."
"2652","0x0A5C","Innovative Design Labs Inc."
"2651","0x0A5B","LEGIC Identsystems AG"
"2650","0x0A5A","Sontheim Industrie Elektronik GmbH"
"2649","0x0A59","TourBuilt, LLC"
"2648","0x0A58","Indigo Diabetes"
"2647","0x0A57","Meizhou Guo Wei Electronics Co., Ltd"
"2646","0x0A56","ambie"
"2645","0x0A55","Inugo Systems Limited"
"2644","0x0A54","SQL Technologies Corp."
"2643","0x0A53","KKM COMPANY LIMITED"
"2642","0x0A52","Follow Sense Europe B.V."
"2641","0x0A51","CSIRO"
"2640","0x0A50","Nextscape Inc."
"2639","0x0A4F","VANMOOF Global Holding B.V."
"2638","0x0A4E","Toytec Corporation"
"2637","0x0A4D","Lockn Technologies Private Limited"
"2636","0x0A4C","SiFli Technologies (shanghai) Inc."
"2635","0x0A4B","MistyWest Energy and Transport Ltd."
"2634","0x0A4A","Map Large, Inc."
"2633","0x0A49","Venture Research Inc."
"2632","0x0A48","JRC Mobility Inc."
"2631","0x0A47","The Wand Company Ltd"
"2630","0x0A46","Beijing HC-Infinite Technology Limited"
"2629","0x0A45","3SI Security Systems, Inc"
"2628","0x0A44","Novidan, Inc."
"2627","0x0A43","Busch Systems International Inc."
"2626","0x0A42","Motionalysis, Inc."
"2625","0x0A41","OPEX Corporation"
"2624","0x0A40","GEWISS S.p.A."
"2623","0x0A3F","Shenzhen Yopeak Optoelectronics Technology Co., Ltd."
"2622","0x0A3E","Hefei Yunlian Semiconductor Co., Ltd"
"2621","0x0A3D","DELABIE"
"2620","0x0A3C","Siteco GmbH"
"2619","0x0A3B","Galileo Technology Limited"
"2618","0x0A3A","Incotex Co. Ltd."
"2617","0x0A39","BLUETICKETING SRL"
"2616","0x0A38","Bouffalo Lab (Nanjing)., Ltd."
"2615","0x0A37","2587702 Ontario Inc."
"2614","0x0A36","NGK SPARK PLUG CO., LTD."
"2613","0x0A35","safectory GmbH"
"2612","0x0A34","Luxer Corporation"
"2611","0x0A33","WMF AG"
"2610","0x0A32","Pinnacle Technology, Inc."
"2609","0x0A31","Nevro Corp."
"2608","0x0A30","Air-Weigh"
"2607","0x0A2F","Instamic, Inc."
"2606","0x0A2E","Zuma Array Limited"
"2605","0x0A2D","Shenzhen Feasycom Technology Co., Ltd."
"2604","0x0A2C","Shenzhen H&T Intelligent Control Co., Ltd"
"2603","0x0A2B","PaceBait IVS"
"2602","0x0A2A","Yamaha Corporation"
"2601","0x0A29","Worthcloud Technology Co.,Ltd"
"2600","0x0A28","NanoFlex"
"2599","0x0A27","AYU DEVICES PRIVATE LIMITED"
"2598","0x0A26","Louis Vuitton"
"2597","0x0A25","Eran Financial Services LLC"
"2596","0x0A24","Atmosic Technologies, Inc."
"2595","0x0A23","BIXOLON CO.,LTD"
"2594","0x0A22","DAIICHIKOSHO CO., LTD."
"2593","0x0A21","Apollogic Sp. z o.o."
"2592","0x0A20","Jiangxi Innotech Technology Co., Ltd"
"2591","0x0A1F","DeVilbiss Healthcare LLC"
"2590","0x0A1E","CombiQ AB"
"2589","0x0A1D","API-K"
"2588","0x0A1C","INPEAK S.C."
"2587","0x0A1B","Embrava Pty Ltd"
"2586","0x0A1A","Link Labs, Inc."
"2585","0x0A19","Maxell, Ltd."
"2584","0x0A18","Cambridge Animal Technologies Ltd"
"2583","0x0A17","Plume Design Inc"
"2582","0x0A16","RIDE VISION LTD"
"2581","0x0A15","Syng Inc"
"2580","0x0A14","CROXEL, INC."
"2579","0x0A13","Tec4med LifeScience GmbH"
"2578","0x0A12","Dyson Technology Limited"
"2577","0x0A11","Sensolus"
"2576","0x0A10","SUBARU Corporation"
"2575","0x0A0F","LIXIL Corporation"
"2574","0x0A0E","Roland Corporation"
"2573","0x0A0D","Blue Peacock GmbH"
"2572","0x0A0C","Shanghai Yidian Intelligent Technology Co., Ltd."
"2571","0x0A0B","SIANA Systems"
"2570","0x0A0A","Volan Technology Inc."
"2569","0x0A09","ECCT"
"2568","0x0A08","Oras Oy"
"2567","0x0A07","Reflow Pty Ltd"
"2566","0x0A06","Shanghai wuqi microelectronics Co.,Ltd"
"2565","0x0A05","Southwire Company, LLC"
"2564","0x0A04","Flosonics Medical"
"2563","0x0A03","donutrobotics Co., Ltd."
"2562","0x0A02","Ayxon-Dynamics GmbH"
"2561","0x0A01","Cleveron AS"
"2560","0x0A00","Ampler Bikes OU"
"2559","0x09FF","AIRSTAR"
"2558","0x09FE","Lichtvision Engineering GmbH"
"2557","0x09FD","Keep Technologies, Inc."
"2556","0x09FC","Confidex"
"2555","0x09FB","TOITU CO., LTD."
"2554","0x09FA","Listen Technologies Corporation"
"2553","0x09F9","Hangzhou Yaguan Technology Co. LTD"
"2552","0x09F8","R.O. S.R.L."
"2551","0x09F7","SENSATEC Co., Ltd."
"2550","0x09F6","Mobile Action Technology Inc."
"2549","0x09F5","OKI Electric Industry Co., Ltd"
"2548","0x09F4","Spectrum Technologies, Inc."
"2547","0x09F3","Beijing Zero Zero Infinity Technology Co.,Ltd."
"2546","0x09F2","Audeara Pty Ltd"
"2545","0x09F1","OM Digital Solutions Corporation"
"2544","0x09F0","WatchGas B.V."
"2543","0x09EF","Steinel Solutions AG"
"2542","0x09EE","OJMAR SA"
"2541","0x09ED","Sibel Inc."
"2540","0x09EC","Yukon advanced optics worldwide, UAB"
"2539","0x09EB","KEAN ELECTRONICS PTY LTD"
"2538","0x09EA","Athlos Oy"
"2537","0x09E9","LumenRadio AB"
"2536","0x09E8","Melange Systems Pvt. Ltd."
"2535","0x09E7","Kabushikigaisha HANERON"
"2534","0x09E6","Masonite Corporation"
"2533","0x09E5","Mobilogix"
"2532","0x09E4","CPS AS"
"2531","0x09E3","Friday Home Aps"
"2530","0x09E2","Wuhan Linptech Co.,Ltd."
"2529","0x09E1","Tag-N-Trac Inc"
"2528","0x09E0","Preddio Technologies Inc."
"2527","0x09DF","Magnus Technology Sdn Bhd"
"2526","0x09DE","JLD Technology Solutions, LLC"
"2525","0x09DD","Innoware Development AB"
"2524","0x09DC","AON2 Ltd."
"2523","0x09DB","Bionic Avionics Inc."
"2522","0x09DA","Nagravision SA"
"2521","0x09D9","VivoSensMedical GmbH"
"2520","0x09D8","Synergy Tecnologia em Sistemas Ltda"
"2519","0x09D7","Coyotta"
"2518","0x09D6","EAR TEKNIK ISITME VE ODIOMETRI CIHAZLARI SANAYI VE TICARET ANONIM SIRKETI"
"2517","0x09D5","GEAR RADIO ELECTRONICS CORP."
"2516","0x09D4","ORBIS Inc."
"2515","0x09D3","HeartHero, inc."
"2514","0x09D2","Temperature Sensitive Solutions Systems Sweden AB"
"2513","0x09D1","ABLEPAY TECHNOLOGIES AS"
"2512","0x09D0","Chess Wise B.V."
"2511","0x09CF","BlueStreak IoT, LLC"
"2510","0x09CE","Julius Blum GmbH"
"2509","0x09CD","Blyott"
"2508","0x09CC","Senso4s d.o.o."
"2507","0x09CB","Hx Engineering, LLC"
"2506","0x09CA","Mobitrace"
"2505","0x09C9","CrowdGlow Ltd"
"2504","0x09C8","XUNTONG"
"2503","0x09C7","Combustion, LLC"
"2502","0x09C6","Honor Device Co., Ltd."
"2501","0x09C5","HungYi Microelectronics Co.,Ltd."
"2500","0x09C4","UVISIO"
"2499","0x09C3","JAPAN TOBACCO INC."
"2498","0x09C2","Universal Audio, Inc."
"2497","0x09C1","Rosewill"
"2496","0x09C0","AnotherBrain inc."
"2495","0x09BF","Span.IO, Inc."
"2494","0x09BE","Vessel Ltd."
"2493","0x09BD","Centre Suisse d'Electronique et de Microtechnique SA"
"2492","0x09BC","Aerosens LLC"
"2491","0x09BB","SkyStream Corporation"
"2490","0x09BA","Elimo Engineering Ltd"
"2489","0x09B9","SAVOY ELECTRONIC LIGHTING"
"2488","0x09B8","PlayerData Limited"
"2487","0x09B7","Bout Labs, LLC"
"2486","0x09B6","Pegasus Technologies, Inc."
"2485","0x09B5","AUTEC Gesellschaft fuer Automationstechnik mbH"
"2484","0x09B4","PentaLock Aps."
"2483","0x09B3","BlueX Microelectronics Corp Ltd."
"2482","0x09B2","DYPHI"
"2481","0x09B1","BLINQY"
"2480","0x09B0","Deublin Company, LLC"
"2479","0x09AF","ifLink Open Community"
"2478","0x09AE","Pozyx NV"
"2477","0x09AD","Narhwall Inc."
"2476","0x09AC","Ambiq"
"2475","0x09AB","DashLogic, Inc."
"2474","0x09AA","PHOTODYNAMIC INCORPORATED"
"2473","0x09A9","Nippon Ceramic Co.,Ltd."
"2472","0x09A8","KHN Solutions Inc"
"2471","0x09A7","Paybuddy ApS"
"2470","0x09A6","BEIJING ELECTRIC VEHICLE CO.,LTD"
"2469","0x09A5","Security Enhancement Systems, LLC"
"2468","0x09A4","KUMHO ELECTRICS, INC"
"2467","0x09A3","ARDUINO SA"
"2466","0x09A2","ENGAGENOW DATA SCIENCES PRIVATE LIMITED"
